,0
652,1689
653,2357
654,10000
655,2873
656,2148
657,10000
658,3291
659,10000
660,10000
661,10000
662,1021
663,347
664,10000
665,5235
666,10000
667,10000
668,10000
669,10000
670,10000
671,10000
672,2883
673,2333
674,503
675,5422
676,10000
677,10000
678,10000
679,7507
680,10000
681,10000
682,3763
683,10000
684,10000
685,10000
686,3164
687,2618
688,5726
689,10000
690,10000
691,1403
692,361
693,261
694,10000
695,10000
696,10000
697,10000
698,1691
699,10000
700,10000
701,10000
702,2061
703,10000
704,10000
705,10000
706,10000
707,10000
708,3492
709,1895
710,10000
711,9048
712,10000
713,10000
714,534
715,10000
716,3766
717,10000
718,10000
719,10000
720,1053
721,10000
722,5443
723,10000
724,181
725,10000
726,10000
727,10000
728,10000
729,3851
730,1130
731,10000
732,10000
733,10000
734,3020
735,568
736,10000
737,10000
738,402
739,10000
740,10000
741,10000
742,10000
743,2947
744,10000
745,10000
746,289
747,10000
748,10000
749,10000
750,614
751,10000
752,10000
753,10000
754,10000
755,10000
756,10000
757,10000
758,4621
759,10000
760,934
761,971
762,10000
763,6507
764,3991
765,10000
766,10000
767,10000
768,10000
769,1368
770,3216
771,10000
772,10000
773,10000
774,10000
775,1531
776,10000
777,10000
778,10000
779,10000
780,10000
781,894
782,904
783,10000
784,9443
785,711
786,10000
787,10000
788,4997
789,8233
790,10000
791,10000
792,10000
793,214
794,1369
795,3136
796,10000
797,10000
798,241
799,10000
800,1846
801,10000
802,9051
803,10000
804,159
805,1863
806,10000
807,10000
808,10000
809,10000
810,10000
811,1516
812,10000
813,5016
814,389
815,10000
816,10000
817,10000
818,10000
819,217
820,5125
821,10000
822,10000
823,10000
824,10000
825,9401
826,819
827,10000
828,10000
829,10000
830,10000
831,10000
832,10000
833,10000
834,10000
835,1148
836,5827
837,10000
838,1414
839,10000
840,10000
841,10000
842,10000
843,10000
844,10000
845,551
846,574
847,10000
848,10000
849,9853
850,349
851,10000
852,10000
853,10000
854,9576
855,10000
856,10000
857,10000
858,10000
859,10000
860,10000
861,10000
862,10000
863,222
864,2496
865,10000
866,10000
867,10000
868,6275
869,2891
870,10000
871,10000
872,10000
873,10000
874,10000
875,10000
876,10000
877,438
878,10000
879,10000
880,10000
881,2663
882,10000
883,10000
884,10000
885,6327
886,10000
887,10000
888,10000
889,3820
890,10000
891,1114
892,270
893,6769
894,10000
895,10000
896,10000
897,1378
898,3913
899,10000
900,10000
901,10000
902,10000
903,10000
904,10000
905,10000
906,10000
907,10000
908,3021
909,10000
910,1291
911,10000
912,10000
913,10000
914,10000
915,3731
916,3520
917,10000
918,683
919,4089
920,10000
921,209
922,168
923,10000
924,10000
925,10000
926,6543
927,10000
928,2689
929,10000
930,8202
931,3869
932,10000
933,6544
934,10000
935,10000
936,10000
937,10000
938,10000
939,10000
940,10000
941,10000
942,7150
943,10000
944,3092
945,10000
946,10000
947,10000
948,538
949,10000
950,10000
951,10000
952,10000
953,10000
954,10000
955,8234
956,10000
957,1120
958,10000
959,10000
960,414
961,10000
962,10000
963,7530
964,10000
965,10000
966,8428
967,10000
968,10000
969,10000
970,10000
971,10000
972,10000
973,7903
974,10000
975,10000
976,10000
977,10000
978,10000
979,123
980,10000
981,327
982,10000
983,7457
984,10000
985,2645
986,10000
987,10000
988,10000
989,639
990,10000
991,2085
992,10000
993,10000
994,10000
995,1296
996,2762
997,10000
998,10000
999,10000
