,0
791,141
792,776
793,286
794,857
795,366
796,123
797,125
798,424
799,117
800,436
801,277
802,425
803,178
804,212
805,246
806,254
807,149
808,338
809,249
810,371
811,156
812,384
813,114
814,404
815,206
816,182
817,839
818,562
819,103
820,186
821,181
822,567
823,621
824,264
825,727
826,151
827,311
828,1000
829,513
830,204
831,174
832,394
833,170
834,331
835,175
836,137
837,125
838,358
839,595
840,144
841,149
842,129
843,341
844,127
845,172
846,137
847,166
848,152
849,285
850,274
851,265
852,123
853,190
854,279
855,679
856,158
857,333
858,142
859,492
860,406
861,125
862,456
863,242
864,1000
865,386
866,324
867,1000
868,574
869,350
870,198
871,185
872,363
873,561
874,152
875,211
876,116
877,246
878,588
879,356
880,169
881,293
882,287
883,148
884,381
885,438
886,162
887,1000
888,498
889,281
890,356
891,268
892,141
893,429
894,435
895,406
896,259
897,406
898,314
899,312
900,247
901,163
902,480
903,274
904,941
905,240
906,155
907,226
908,291
909,258
910,190
911,353
912,198
913,520
914,186
915,233
916,122
917,416
918,1000
919,267
920,130
921,233
922,175
923,194
924,231
925,106
926,296
927,198
928,433
929,554
930,656
931,174
932,1000
933,154
934,325
935,159
936,354
937,129
938,254
939,234
940,398
941,353
942,184
943,164
944,296
945,239
946,369
947,347
948,533
949,227
950,142
951,359
952,372
953,134
954,281
955,1000
956,225
957,128
958,153
959,105
960,548
961,166
962,164
963,421
964,153
965,445
966,379
967,140
968,526
969,542
970,165
971,279
972,429
973,601
974,126
975,1000
976,865
977,482
978,208
979,252
980,201
981,598
982,219
983,236
984,196
985,492
986,212
987,750
988,413
989,216
990,286
991,144
992,319
993,206
994,554
995,180
996,148
997,218
998,303
999,295
