,0
771,132
772,282
773,295
774,136
775,193
776,597
777,1443
778,102
779,267
780,122
781,100
782,144
783,215
784,1371
785,102
786,519
787,631
788,128
789,1847
790,493
791,734
792,901
793,128
794,703
795,400
796,653
797,245
798,242
799,330
800,273
801,731
802,113
803,421
804,121
805,342
806,494
807,121
808,182
809,113
810,228
811,459
812,1606
813,738
814,102
815,150
816,732
817,751
818,197
819,233
820,486
821,462
822,997
823,192
824,3569
825,1574
826,302
827,131
828,164
829,350
830,447
831,402
832,109
833,136
834,806
835,181
836,705
837,420
838,221
839,334
840,2030
841,818
842,727
843,495
844,2118
845,142
846,121
847,119
848,100
849,110
850,165
851,386
852,993
853,1672
854,153
855,469
856,381
857,100
858,130
859,542
860,146
861,121
862,1581
863,157
864,105
865,366
866,614
867,503
868,102
869,276
870,131
871,602
872,100
873,107
874,109
875,246
876,110
877,111
878,104
879,108
880,112
881,102
882,894
883,772
884,109
885,3212
886,926
887,309
888,694
889,295
890,372
891,398
892,143
893,116
894,442
895,971
896,100
897,246
898,101
899,100
900,100
901,166
902,493
903,983
904,758
905,134
906,894
907,134
908,441
909,146
910,170
911,188
912,515
913,150
914,351
915,100
916,218
917,3107
918,275
919,416
920,665
921,127
922,280
923,110
924,101
925,712
926,118
927,100
928,153
929,1685
930,107
931,630
932,106
933,107
934,601
935,113
936,937
937,194
938,1046
939,1367
940,118
941,171
942,110
943,700
944,674
945,948
946,124
947,100
948,289
949,408
950,139
951,745
952,139
953,106
954,223
955,407
956,105
957,155
958,109
959,117
960,182
961,1158
962,643
963,119
964,618
965,447
966,1302
967,137
968,113
969,1073
970,1215
971,314
972,268
973,121
974,709
975,1715
976,352
977,199
978,229
979,103
980,421
981,103
982,635
983,147
984,263
985,579
986,239
987,654
988,197
989,103
990,162
991,660
992,969
993,100
994,311
995,102
996,439
997,312
998,121
999,208
