,0
767,748
768,810
769,790
770,948
771,811
772,1000
773,784
774,816
775,691
776,971
777,918
778,971
779,771
780,886
781,783
782,905
783,810
784,936
785,861
786,996
787,1000
788,834
789,1000
790,656
791,931
792,846
793,833
794,746
795,816
796,660
797,1000
798,944
799,685
800,971
801,862
802,858
803,988
804,958
805,1000
806,1000
807,927
808,957
809,813
810,940
811,828
812,854
813,925
814,996
815,886
816,944
817,729
818,758
819,831
820,915
821,794
822,735
823,744
824,869
825,902
826,784
827,707
828,868
829,778
830,762
831,961
832,950
833,1000
834,940
835,914
836,838
837,930
838,860
839,1000
840,806
841,953
842,725
843,795
844,777
845,759
846,1000
847,851
848,887
849,1000
850,831
851,786
852,855
853,894
854,1000
855,924
856,990
857,819
858,879
859,872
860,735
861,763
862,810
863,863
864,1000
865,967
866,744
867,853
868,1000
869,877
870,788
871,824
872,699
873,746
874,1000
875,843
876,1000
877,907
878,886
879,1000
880,853
881,783
882,732
883,777
884,775
885,779
886,822
887,711
888,837
889,1000
890,793
891,991
892,752
893,708
894,893
895,1000
896,917
897,748
898,761
899,831
900,679
901,712
902,877
903,856
904,998
905,878
906,786
907,763
908,824
909,801
910,900
911,808
912,1000
913,919
914,787
915,862
916,782
917,850
918,824
919,1000
920,940
921,1000
922,1000
923,727
924,741
925,748
926,767
927,856
928,799
929,866
930,955
931,885
932,850
933,913
934,789
935,894
936,834
937,1000
938,1000
939,817
940,1000
941,813
942,1000
943,801
944,803
945,856
946,1000
947,1000
948,732
949,723
950,863
951,903
952,791
953,895
954,714
955,755
956,851
957,814
958,697
959,970
960,909
961,831
962,875
963,791
964,1000
965,915
966,728
967,1000
968,920
969,684
970,715
971,773
972,858
973,704
974,793
975,786
976,856
977,765
978,1000
979,758
980,763
981,940
982,802
983,805
984,884
985,876
986,627
987,789
988,912
989,736
990,899
991,927
992,1000
993,855
994,758
995,854
996,741
997,886
998,840
999,791
