,0
705,879
706,1025
707,1283
708,1570
709,725
710,878
711,1596
712,1855
713,1023
714,790
715,1051
716,1389
717,1272
718,738
719,1441
720,902
721,734
722,979
723,1644
724,1172
725,679
726,883
727,900
728,2320
729,887
730,1881
731,774
732,969
733,981
734,754
735,583
736,955
737,1698
738,676
739,1078
740,1865
741,869
742,1382
743,961
744,1087
745,908
746,821
747,924
748,905
749,948
750,2306
751,1643
752,1324
753,1860
754,1417
755,963
756,834
757,664
758,704
759,938
760,1168
761,1297
762,837
763,810
764,761
765,846
766,1060
767,949
768,1738
769,1475
770,1150
771,1144
772,1018
773,1212
774,1541
775,1153
776,782
777,977
778,1634
779,1427
780,2784
781,784
782,2024
783,954
784,1032
785,1081
786,1419
787,845
788,1036
789,1078
790,1787
791,694
792,737
793,1267
794,955
795,910
796,817
797,1212
798,1038
799,1046
800,784
801,725
802,824
803,717
804,893
805,851
806,1278
807,1810
808,1023
809,1209
810,1899
811,1572
812,1147
813,694
814,802
815,1106
816,847
817,750
818,1287
819,1002
820,638
821,1124
822,1349
823,1156
824,744
825,1512
826,3074
827,2112
828,1724
829,1453
830,1379
831,1191
832,1820
833,1174
834,1118
835,1286
836,1896
837,811
838,924
839,757
840,868
841,743
842,1184
843,826
844,708
845,834
846,1494
847,1238
848,808
849,1435
850,1995
851,908
852,892
853,769
854,853
855,1267
856,1181
857,934
858,1970
859,654
860,974
861,1225
862,2015
863,1760
864,1809
865,664
866,792
867,1557
868,1271
869,863
870,1865
871,1447
872,1133
873,1879
874,779
875,926
876,957
877,1568
878,1157
879,1482
880,1002
881,1029
882,1129
883,768
884,935
885,724
886,1138
887,984
888,1179
889,1467
890,977
891,1210
892,1000
893,1448
894,1765
895,871
896,1397
897,1005
898,852
899,811
900,1138
901,679
902,968
903,841
904,936
905,1219
906,935
907,1257
908,952
909,2232
910,1148
911,1848
912,942
913,760
914,1113
915,1232
916,1128
917,818
918,877
919,730
920,2218
921,985
922,1740
923,1023
924,1250
925,892
926,885
927,735
928,1994
929,799
930,1081
931,885
932,1823
933,706
934,752
935,1981
936,831
937,752
938,742
939,835
940,1422
941,1123
942,717
943,1289
944,1178
945,728
946,1232
947,845
948,982
949,1012
950,891
951,1157
952,1611
953,2581
954,685
955,643
956,1266
957,982
958,1161
959,688
960,1663
961,1413
962,1046
963,1156
964,1041
965,1209
966,1523
967,657
968,874
969,883
970,1169
971,1127
972,10000
973,908
974,794
975,860
976,711
977,594
978,1530
979,1840
980,1133
981,876
982,2344
983,1051
984,2538
985,2057
986,1472
987,719
988,1191
989,858
990,1079
991,929
992,881
993,1341
994,2168
995,737
996,750
997,2024
998,2053
999,785
