,0
705,184
706,10000
707,104
708,10000
709,230
710,10000
711,897
712,100
713,10000
714,100
715,10000
716,10000
717,10000
718,10000
719,10000
720,970
721,10000
722,142
723,10000
724,151
725,10000
726,10000
727,111
728,1370
729,10000
730,101
731,150
732,102
733,10000
734,10000
735,438
736,10000
737,112
738,100
739,10000
740,380
741,128
742,10000
743,10000
744,10000
745,799
746,136
747,10000
748,10000
749,10000
750,300
751,10000
752,10000
753,1450
754,100
755,10000
756,135
757,136
758,345
759,8153
760,100
761,10000
762,10000
763,6818
764,10000
765,10000
766,131
767,10000
768,100
769,136
770,10000
771,134
772,10000
773,754
774,10000
775,10000
776,151
777,10000
778,102
779,296
780,120
781,100
782,215
783,10000
784,8704
785,102
786,10000
787,10000
788,129
789,8123
790,10000
791,434
792,10000
793,192
794,10000
795,4001
796,10000
797,301
798,279
799,478
800,10000
801,10000
802,112
803,3270
804,131
805,1700
806,10000
807,139
808,10000
809,113
810,10000
811,1329
812,3630
813,10000
814,102
815,10000
816,10000
817,118
818,231
819,258
820,10000
821,10000
822,5263
823,135
824,10000
825,10000
826,109
827,137
828,203
829,326
830,10000
831,925
832,109
833,136
834,10000
835,186
836,1748
837,10000
838,237
839,10000
840,204
841,10000
842,10000
843,10000
844,10000
845,302
846,121
847,116
848,100
849,110
850,166
851,10000
852,10000
853,10000
854,157
855,10000
856,402
857,100
858,130
859,10000
860,131
861,151
862,7035
863,160
864,105
865,316
866,10000
867,10000
868,102
869,459
870,133
871,10000
872,100
873,107
874,109
875,250
876,110
877,112
878,104
879,108
880,111
881,102
882,10000
883,10000
884,109
885,10000
886,10000
887,10000
888,10000
889,314
890,10000
891,775
892,396
893,116
894,10000
895,10000
896,100
897,10000
898,101
899,100
900,100
901,10000
902,10000
903,10000
904,10000
905,134
906,10000
907,136
908,10000
909,146
910,157
911,10000
912,10000
913,150
914,344
915,100
916,2983
917,10000
918,313
919,10000
920,10000
921,125
922,117
923,110
924,101
925,10000
926,121
927,100
928,151
929,10000
930,108
931,10000
932,106
933,107
934,10000
935,113
936,10000
937,10000
938,10000
939,10000
940,118
941,217
942,110
943,10000
944,3107
945,10000
946,124
947,100
948,545
949,10000
950,322
951,1734
952,136
953,106
954,10000
955,10000
956,105
957,155
958,109
959,118
960,247
961,132
962,1241
963,120
964,1980
965,10000
966,10000
967,136
968,113
969,10000
970,2024
971,303
972,671
973,120
974,10000
975,10000
976,10000
977,273
978,10000
979,103
980,474
981,103
982,10000
983,148
984,10000
985,10000
986,269
987,10000
988,10000
989,103
990,163
991,1256
992,10000
993,100
994,10000
995,102
996,679
997,10000
998,121
999,10000
