,0
756,346
757,754
758,509
759,1000
760,349
761,206
762,1000
763,522
764,579
765,303
766,866
767,1000
768,290
769,806
770,729
771,513
772,215
773,703
774,1000
775,1000
776,294
777,333
778,1000
779,389
780,1000
781,1000
782,322
783,298
784,278
785,903
786,629
787,790
788,327
789,475
790,384
791,1000
792,950
793,811
794,1000
795,363
796,135
797,484
798,308
799,298
800,1000
801,248
802,504
803,217
804,339
805,248
806,641
807,421
808,1000
809,263
810,825
811,1000
812,1000
813,638
814,1000
815,310
816,1000
817,1000
818,664
819,226
820,502
821,529
822,881
823,1000
824,594
825,1000
826,790
827,677
828,1000
829,658
830,303
831,400
832,957
833,316
834,1000
835,232
836,182
837,148
838,380
839,805
840,144
841,876
842,1000
843,569
844,444
845,1000
846,161
847,341
848,224
849,693
850,857
851,1000
852,148
853,1000
854,316
855,1000
856,726
857,520
858,137
859,1000
860,627
861,700
862,453
863,754
864,1000
865,550
866,387
867,1000
868,579
869,345
870,332
871,288
872,620
873,1000
874,157
875,1000
876,235
877,683
878,1000
879,351
880,362
881,293
882,363
883,1000
884,829
885,457
886,164
887,1000
888,499
889,711
890,356
891,426
892,184
893,771
894,1000
895,1000
896,478
897,265
898,311
899,699
900,867
901,156
902,1000
903,183
904,867
905,422
906,148
907,746
908,1000
909,644
910,1000
911,355
912,371
913,1000
914,921
915,234
916,182
917,1000
918,1000
919,489
920,689
921,1000
922,482
923,857
924,267
925,348
926,301
927,433
928,1000
929,586
930,619
931,884
932,708
933,155
934,348
935,1000
936,355
937,331
938,245
939,767
940,1000
941,390
942,640
943,191
944,365
945,219
946,385
947,1000
948,594
949,1000
950,144
951,308
952,339
953,287
954,319
955,1000
956,218
957,257
958,830
959,139
960,983
961,220
962,1000
963,928
964,155
965,475
966,368
967,144
968,1000
969,524
970,399
971,278
972,429
973,1000
974,542
975,1000
976,925
977,1000
978,724
979,1000
980,398
981,918
982,278
983,536
984,273
985,586
986,220
987,748
988,886
989,245
990,600
991,184
992,1000
993,290
994,1000
995,430
996,755
997,431
998,319
999,303
