,0
752,241
753,152
754,143
755,389
756,251
757,1000
758,241
759,1000
760,199
761,173
762,1000
763,1000
764,134
765,197
766,1000
767,117
768,167
769,758
770,216
771,1000
772,248
773,1000
774,1000
775,1000
776,151
777,251
778,276
779,215
780,190
781,331
782,1000
783,106
784,466
785,127
786,434
787,1000
788,244
789,452
790,1000
791,139
792,1000
793,362
794,1000
795,363
796,120
797,125
798,1000
799,117
800,1000
801,277
802,1000
803,169
804,204
805,242
806,255
807,144
808,222
809,278
810,362
811,172
812,573
813,103
814,403
815,294
816,182
817,1000
818,1000
819,103
820,270
821,181
822,1000
823,1000
824,264
825,1000
826,172
827,376
828,1000
829,1000
830,206
831,184
832,1000
833,145
834,1000
835,175
836,131
837,134
838,1000
839,1000
840,145
841,157
842,126
843,212
844,192
845,404
846,169
847,338
848,147
849,534
850,235
851,1000
852,122
853,189
854,283
855,1000
856,290
857,339
858,149
859,487
860,378
861,123
862,1000
863,1000
864,1000
865,454
866,451
867,1000
868,1000
869,347
870,167
871,267
872,350
873,1000
874,181
875,1000
876,115
877,242
878,1000
879,322
880,237
881,566
882,290
883,141
884,270
885,1000
886,161
887,1000
888,473
889,1000
890,356
891,1000
892,139
893,1000
894,1000
895,1000
896,128
897,268
898,1000
899,398
900,729
901,115
902,1000
903,274
904,258
905,399
906,142
907,207
908,1000
909,258
910,1000
911,539
912,202
913,1000
914,148
915,234
916,144
917,1000
918,1000
919,259
920,319
921,358
922,138
923,193
924,255
925,165
926,312
927,185
928,1000
929,1000
930,1000
931,196
932,1000
933,129
934,334
935,1000
936,354
937,117
938,239
939,1000
940,311
941,352
942,182
943,1000
944,1000
945,152
946,346
947,1000
948,475
949,162
950,124
951,196
952,134
953,323
954,310
955,287
956,198
957,128
958,153
959,105
960,1000
961,160
962,253
963,187
964,181
965,597
966,375
967,140
968,242
969,1000
970,304
971,276
972,433
973,1000
974,125
975,1000
976,1000
977,463
978,382
979,276
980,310
981,595
982,266
983,206
984,194
985,492
986,211
987,1000
988,244
989,244
990,284
991,144
992,495
993,197
994,1000
995,118
996,1000
997,202
998,304
999,290
